"net_tfa","age","inc","educ","fsize","marr","twoearn","db","pira","hown","p401","e401"
2150,46,77235,12,5,1,1,1,0,1,0,0
550,48,20970,10,4,0,0,0,0,0,0,0
-929,40,30936,13,4,0,0,1,0,1,0,0
14813,64,6450,11,3,0,0,0,0,1,0,0
0,35,17244,15,6,1,1,1,0,1,0,0
700,34,34800,10,3,1,1,0,0,0,0,0
12400,31,50388,15,2,1,1,0,0,1,0,0
-9000,37,45426,15,4,1,1,0,0,0,0,0
0,40,53091,12,3,1,1,0,0,1,0,0
-51,51,24063,13,2,0,0,0,0,1,0,0
11900,55,56598,17,4,1,1,0,0,1,0,0
0,29,9900,1,3,0,0,0,0,0,0,0
0,55,4080,14,2,0,0,0,0,0,0,0
-1500,34,30255,14,4,0,0,0,0,0,0,0
-100,33,20250,12,1,0,0,0,0,0,0,0
8399,42,47934,17,4,1,1,1,1,1,0,0
-2450,36,25812,16,3,1,0,0,0,0,0,0
29000,29,12690,18,1,0,0,0,1,0,0,0
-11700,37,56529,12,2,1,1,1,0,1,0,0
0,39,19635,12,5,1,0,0,0,1,0,0
-7996,51,25200,14,2,1,0,0,0,0,0,0
13349,33,53700,12,4,1,1,0,0,0,0,0
-750,56,15006,12,3,0,0,0,0,1,0,0
-17900,40,29190,17,5,0,0,0,0,1,0,0
400,61,10032,12,1,0,0,0,0,0,0,0
16199,39,50250,18,4,0,0,0,0,1,0,0
-1400,52,28344,12,2,0,0,1,0,0,0,0
14299,44,73902,16,4,1,1,1,0,1,0,0
-101,56,30165,10,3,1,0,0,0,0,0,0
0,46,17490,6,3,1,1,0,0,1,0,0
49800,43,57645,18,2,0,0,1,0,0,0,0
0,37,12324,11,9,0,0,0,0,1,0,0
14399,61,44331,14,3,1,0,1,0,1,0,0
-5500,27,25527,13,4,1,0,0,0,0,0,0
-1100,40,35190,12,9,1,1,1,0,0,0,0
9000,48,61830,12,3,1,0,0,0,1,0,0
0,64,4779,10,6,0,0,0,0,1,0,0
-1400,31,32082,16,1,0,0,0,0,0,0,0
300,28,33906,18,2,1,0,0,0,0,0,0
-6001,45,58578,13,2,1,1,0,1,1,0,0
-2600,39,16341,12,2,0,0,0,0,1,0,0
0,35,12114,12,3,0,0,0,0,1,0,0
549,39,39366,1,2,1,1,0,0,1,0,0
-1851,33,28203,12,4,1,1,0,0,1,0,0
1340,27,21690,15,1,0,0,0,0,1,0,0
-62,30,25437,12,1,0,0,0,0,1,0,0
0,63,6480,6,1,0,0,0,0,0,0,0
-117200,39,14790,6,5,1,0,0,0,0,0,0
0,25,13320,11,2,0,0,0,0,0,0,0
779,39,13011,12,1,0,0,0,0,1,0,0
-775,51,36648,11,3,1,1,0,0,1,0,0
100,37,15018,12,3,0,0,0,0,0,0,0
0,32,26535,14,4,1,0,0,0,0,0,0
52150,41,59400,12,1,0,0,1,0,1,0,0
0,40,10200,12,3,0,0,1,0,0,0,0
1200,27,30195,12,3,1,1,0,0,0,0,0
-4400,25,21879,16,1,0,0,0,0,0,0,0
-220,56,12723,10,3,0,0,0,0,0,0,0
-9400,38,36648,12,4,1,1,0,0,1,0,0
0,29,840,12,1,0,0,0,0,0,0,0
-3290,28,21582,16,1,0,0,0,0,0,0,0
-200,34,14040,12,1,0,0,0,0,0,0,0
450,47,33792,17,6,1,0,0,0,1,0,0
-134,30,29526,14,4,1,0,0,0,0,0,0
0,26,6168,14,4,1,1,0,0,0,0,0
0,50,13740,12,1,0,0,0,0,0,0,0
2175,49,54063,12,4,1,1,1,0,1,0,0
-2000,50,49164,14,4,1,0,0,0,1,0,0
-5800,36,36699,18,3,0,0,1,0,1,0,0
1482,35,37965,17,1,0,0,0,0,0,0,0
-2475,30,22236,12,2,1,1,0,0,0,0,0
3600,42,40740,12,5,1,1,0,1,1,0,0
10000,61,34920,12,2,1,0,0,0,0,0,0
-11351,35,16077,12,4,1,0,0,0,1,0,0
-9680,28,22440,16,1,0,0,0,0,1,0,0
-700,26,15315,12,1,0,0,0,1,0,0,0
149,32,19659,11,5,1,0,0,0,1,0,0
28200,52,9903,12,1,0,0,0,0,1,0,0
59,43,30333,14,3,0,0,0,0,1,0,0
-2100,32,29172,12,5,1,1,0,0,0,0,0
1099,59,35241,8,2,1,1,0,0,1,0,0
-1125,25,16800,16,1,0,0,0,0,0,0,0
34000,54,17400,16,1,0,0,1,1,1,0,0
29000,31,48420,14,2,1,1,0,0,1,0,0
-50,59,4320,12,6,1,0,0,0,1,0,0
-3550,60,25356,4,1,0,0,0,0,1,0,0
0,55,7644,11,2,0,0,1,0,1,0,0
-4500,59,40290,13,2,1,1,0,0,0,0,0
-6000,49,31944,13,2,0,0,1,0,1,0,0
1700,47,16260,10,2,0,0,0,0,1,0,0
7300,38,13740,18,3,0,0,0,0,0,0,0
600,51,20496,12,1,0,0,1,0,0,0,0
-7201,38,95955,16,3,1,1,1,0,1,0,0
-2000,25,5712,18,1,0,0,0,0,0,0,0
-250,33,24114,9,3,1,1,0,0,0,0,0
-1691,63,10146,12,2,1,0,0,0,1,0,0
2840,53,13500,10,2,1,0,0,0,1,0,0
1499,34,41490,13,1,0,0,1,0,0,0,0
83,43,32316,10,4,1,1,1,0,0,0,0
130200,48,92064,16,5,1,1,1,1,1,0,0
0,35,18750,12,7,1,1,0,0,0,0,0
77098,49,21396,12,6,1,0,0,0,1,0,0
1e+05,59,100941,12,2,1,1,0,1,1,0,0
2151,36,20310,16,4,1,1,0,1,0,0,0
299,52,20718,9,1,0,0,0,0,1,0,0
28,43,7542,12,3,0,0,0,0,1,0,0
14948,47,16980,14,1,0,0,0,1,1,0,0
3483,49,37155,12,5,1,1,0,1,1,0,0
0,27,31089,13,4,1,1,0,0,0,0,0
-150,43,41139,18,1,0,0,1,0,0,0,0
13200,51,26280,16,1,0,0,0,0,0,0,0
-1500,28,9240,12,4,1,0,0,0,1,0,0
6499,37,18696,17,3,1,1,0,0,1,0,0
0,29,21807,12,1,0,0,0,0,0,0,0
3174,28,52530,18,3,0,0,1,0,1,0,0
-11800,46,33375,12,3,1,1,0,0,1,0,0
-21,35,13128,12,4,0,0,0,0,0,0,0
-6900,43,16326,14,4,0,0,0,0,1,0,0
330,31,15300,12,3,1,0,0,0,0,0,0
-6300,33,11238,16,1,0,0,0,0,1,0,0
25000,30,49200,13,2,1,0,0,0,0,0,0
21700,51,43680,16,1,0,0,0,1,1,0,0
-3197,37,18429,12,3,0,0,0,0,1,0,0
6000,35,15336,14,5,0,0,0,0,1,0,0
-2500,27,6606,12,1,0,0,0,0,0,0,0
-3000,50,19920,12,5,1,1,0,0,1,0,0
7300,37,37920,14,3,1,1,1,0,1,0,0
-7000,42,32220,9,1,0,0,0,0,0,0,0
-2050,54,45900,12,4,1,1,0,0,1,0,0
-234,28,3204,12,1,0,0,0,0,0,0,0
-2400,41,30240,14,1,0,0,0,0,1,0,0
43099,57,89514,16,3,1,0,0,1,1,0,0
38010,61,26664,12,3,1,0,0,0,1,0,0
-7100,43,59208,12,4,1,1,0,0,1,0,0
-1450,31,22572,14,2,0,0,0,0,0,0,0
1473,35,41280,13,4,1,1,1,0,1,0,0
-788,31,16020,13,2,0,0,1,0,1,0,0
1999,26,20724,12,1,0,0,0,0,0,0,0
22850,41,26856,12,3,1,1,0,0,1,0,0
-4600,26,37500,17,1,0,0,0,0,0,0,0
600,56,24819,12,3,1,0,0,0,1,0,0
9000,54,19950,12,1,0,0,1,1,1,0,0
-6400,26,36090,12,2,1,1,0,0,1,0,0
225,35,38550,16,2,1,1,0,0,0,0,0
0,27,20100,1,3,0,0,0,0,0,0,0
999,41,3180,12,3,0,0,0,0,0,0,0
0,26,4320,13,1,0,0,0,0,1,0,0
-23990,48,52206,12,7,1,1,0,0,1,0,0
-850,35,31443,12,4,1,1,0,0,0,0,0
599,39,47937,12,4,1,1,0,0,1,0,0
0,39,17850,4,6,1,0,0,0,0,0,0
100,59,23004,16,4,1,0,0,0,1,0,0
-3450,36,14559,12,3,1,1,1,0,0,0,0
232600,40,48402,16,4,1,0,0,1,1,0,0
39800,40,132057,16,4,1,1,1,1,0,0,0
-1190,25,16302,13,6,1,0,0,0,0,0,0
345,25,19380,12,3,1,1,0,0,1,0,0
-900,62,69960,16,9,1,0,1,0,1,0,0
635,28,31668,12,5,1,1,0,0,0,0,0
-5000,32,8841,6,4,1,0,0,0,1,0,0
0,33,5775,6,1,0,0,0,0,0,0,0
600,60,3825,11,1,0,0,0,0,0,0,0
-10650,26,44034,15,2,1,1,1,0,0,0,0
82650,53,121836,12,3,1,1,0,1,1,0,0
0,58,9720,8,4,1,0,0,0,1,0,0
3599,42,55740,13,5,1,1,0,0,0,0,0
-1400,32,32064,12,1,0,0,0,0,0,0,0
-2675,29,33075,14,3,1,1,0,0,1,0,0
-2320,26,35493,12,4,1,1,0,0,0,0,0
2280,30,23268,12,3,1,1,0,0,0,0,0
0,50,14292,11,3,1,1,0,0,0,0,0
110500,56,96147,13,3,1,0,0,1,1,0,0
1500,39,13566,12,2,0,0,0,0,0,0,0
99,50,25251,11,4,1,0,0,0,1,0,0
1000,43,11424,16,1,0,0,0,0,0,0,0
75299,58,33510,12,2,1,0,0,0,1,0,0
-4600,47,13350,12,4,1,0,0,0,1,0,0
5200,59,6876,12,1,0,0,0,0,0,0,0
51250,40,120750,18,5,1,1,1,1,1,0,0
45,62,13218,10,2,0,0,1,0,1,0,0
0,46,12750,6,4,1,0,0,0,0,0,0
30999,42,43500,14,4,1,0,0,1,1,0,0
-1120,30,18378,12,4,1,0,0,0,0,0,0
4500,53,50700,16,5,1,1,0,0,1,0,0
-350,29,10800,11,3,0,0,0,0,0,0,0
-14900,40,32832,14,1,0,0,0,0,0,0,0
64599,64,23136,12,2,1,0,0,1,1,0,0
0,32,8553,11,3,0,0,0,0,0,0,0
35015,38,53925,18,1,0,0,0,0,0,0,0
599,41,8760,12,3,0,0,0,0,1,0,0
36950,37,14400,16,2,0,0,0,0,1,0,0
9370,57,55539,12,2,1,1,0,1,1,0,0
10000,28,51117,18,2,1,1,1,0,1,0,0
-16270,25,19131,14,1,0,0,0,0,0,0,0
99,30,19386,14,2,0,0,0,0,0,0,0
24352,25,43050,18,1,0,0,0,1,0,0,0
0,39,10350,12,4,0,0,0,0,0,0,0
-11551,39,21603,12,3,0,0,0,0,0,0,0
0,33,5160,12,1,0,0,0,0,0,0,0
0,63,16500,12,3,1,1,0,0,0,0,0
-1820,46,46356,18,3,0,0,1,0,1,0,0
82395,52,21492,12,2,0,0,0,1,1,0,0
2200,41,15432,16,1,0,0,0,0,0,0,0
-1329,38,12915,12,3,0,0,0,0,0,0,0
2099,49,14970,12,4,1,0,0,0,1,0,0
2085,46,33408,15,1,0,0,1,0,1,0,0
2949,29,7500,12,1,0,0,0,0,0,0,0
1500,49,16284,10,1,0,0,0,0,0,0,0
44999,51,17700,12,2,0,0,0,1,1,0,0
-2308,40,29700,16,4,1,1,1,0,1,0,0
29700,45,17400,10,3,1,0,0,0,1,0,0
25699,28,58923,16,2,1,1,0,1,1,0,0
999,42,28503,12,2,1,1,0,0,1,0,0
-1500,46,96060,12,1,0,0,0,0,0,0,0
0,37,5235,12,3,0,0,0,0,0,0,0
2000,64,30192,16,2,1,0,0,0,0,0,0
-29980,49,22980,16,2,0,0,0,0,0,0,0
-1530,42,75036,13,5,1,1,0,1,1,0,0
91230,56,28260,16,1,0,0,0,1,0,0,0
-791,47,18195,12,10,1,1,1,0,1,0,0
0,40,7461,12,6,0,0,0,0,0,0,0
1000,41,46791,18,3,1,1,1,0,1,0,0
4415,41,26610,16,4,1,0,0,0,0,0,0
-915,39,54066,17,5,1,1,1,0,1,0,0
-4100,39,43089,18,4,1,1,1,0,1,0,0
49,25,14781,12,2,0,0,0,0,0,0,0
7999,37,51060,15,1,0,0,0,1,1,0,0
0,32,14529,12,4,0,0,0,0,0,0,0
-50,52,44400,16,2,1,1,1,0,1,0,0
-495,25,28254,12,3,1,1,0,0,0,0,0
34890,45,65040,14,2,1,1,0,1,1,0,0
800,42,24600,12,1,0,0,0,0,1,0,0
-11501,46,33726,6,4,1,1,0,0,1,0,0
1163,32,55680,12,5,1,1,0,0,1,0,0
16700,64,65373,16,2,1,0,0,0,1,0,0
290,45,63300,12,2,1,1,0,1,0,0,0
0,29,16203,12,4,1,1,1,0,0,0,0
-2275,41,34353,17,2,0,0,0,1,1,0,0
4500,34,48078,18,1,0,0,1,1,1,0,0
16700,59,27942,12,2,1,0,0,0,1,0,0
5330,27,25284,16,1,0,0,0,1,0,0,0
-1350,46,17865,12,3,1,1,0,0,0,0,0
14984,26,23787,14,3,1,0,0,0,1,0,0
0,30,13110,11,3,0,0,0,0,0,0,0
-3300,39,60030,15,5,1,0,0,0,1,0,0
281,45,57675,18,4,1,1,1,0,1,0,0
0,30,18399,13,2,0,0,1,0,0,0,0
51740,38,50016,18,3,1,1,0,1,1,0,0
7455,40,68850,15,2,1,1,1,0,1,0,0
400,30,21036,12,3,1,0,0,0,1,0,0
3328,30,44613,16,4,1,1,1,0,1,0,0
182,32,10929,12,1,0,0,0,0,0,0,0
99,49,42690,12,4,1,1,0,0,1,0,0
-4596,25,30834,14,3,0,0,0,0,0,0,0
499,60,13290,7,1,0,0,0,0,1,0,0
0,35,17640,15,4,0,0,1,0,0,0,0
99789,61,66528,12,2,1,0,0,1,1,0,0
14699,25,26400,9,1,0,0,0,0,0,0,0
250,36,18054,9,6,1,0,0,0,0,0,0
1120,44,20505,12,1,0,0,1,0,0,0,0
0,36,40800,12,5,1,1,0,0,1,0,0
500,40,62745,11,7,1,1,1,0,1,0,0
-351,36,48351,12,4,1,1,0,0,0,0,0
125,31,17145,14,1,0,0,0,0,0,0,0
0,26,12084,12,2,0,0,0,0,0,0,0
38400,41,54210,16,3,1,1,0,1,1,0,0
1100,34,36474,16,1,0,0,1,0,1,0,0
66700,58,100329,15,3,1,1,0,0,1,0,0
0,34,29700,6,9,1,1,0,0,0,0,0
0,42,10836,14,3,0,0,0,0,1,0,0
360413,63,71535,18,2,1,0,0,1,1,0,0
-3888,41,31896,12,5,1,0,0,0,0,0,0
-5000,58,51489,18,2,1,0,1,0,1,0,0
-2901,46,31857,18,3,1,1,1,0,1,0,0
14850,39,28980,9,4,1,0,0,0,0,0,0
350,59,32856,12,2,1,0,0,0,0,0,0
-1300,49,19734,9,7,1,1,0,0,1,0,0
68,42,9945,12,1,0,0,0,0,0,0,0
-10430,27,47340,12,2,0,0,1,0,1,0,0
0,47,8694,8,1,0,0,0,0,1,0,0
-7900,63,20724,12,4,1,0,0,0,0,0,0
39100,33,52494,14,4,1,1,0,1,1,0,0
0,36,15600,14,3,0,0,0,0,0,0,0
2000,60,14541,8,3,1,0,0,0,0,0,0
16400,44,36060,18,4,1,0,0,1,1,0,0
-1742,40,12015,18,1,0,0,0,0,0,0,0
12499,54,39150,16,1,0,0,1,0,1,0,0
575,25,17310,12,1,0,0,0,0,0,0,0
2573,26,22830,13,1,0,0,0,0,0,0,0
-350,26,15330,13,1,0,0,0,0,0,0,0
7299,42,47265,18,1,0,0,1,0,0,0,0
1853,36,27741,18,1,0,0,1,0,1,0,0
5,31,16560,12,1,0,0,0,0,0,0,0
43411,61,39081,10,2,1,0,0,1,1,0,0
-1600,34,19380,12,1,0,0,0,0,0,0,0
0,40,40620,16,5,1,1,0,0,0,0,0
-300,49,18975,12,2,0,0,1,0,1,0,0
145,28,8292,13,1,0,0,0,0,0,0,0
1540,31,10356,12,4,1,0,0,0,0,0,0
172,32,23508,12,4,1,1,0,0,1,0,0
42499,42,35616,18,1,0,0,0,1,1,0,0
0,55,12240,11,1,0,0,0,0,0,0,0
54000,38,80613,18,4,1,1,0,1,1,0,0
6800,25,20508,13,3,1,1,0,0,0,0,0
499,49,10215,5,4,0,0,1,0,0,0,0
140600,40,59340,16,4,1,1,0,1,1,0,0
0,57,9180,12,1,0,0,0,0,0,0,0
0,50,5610,14,1,0,0,0,0,0,0,0
136100,55,63972,15,2,1,1,0,1,1,0,0
-306,49,13491,12,1,0,0,0,0,1,0,0
50,52,21240,14,3,0,0,1,0,1,0,0
-500,48,34074,8,5,1,0,0,0,1,0,0
-1500,39,17097,11,1,0,0,1,0,0,0,0
249,32,32451,4,6,1,1,0,0,0,0,0
0,33,24300,12,3,1,1,0,0,0,0,0
10175,31,65334,12,4,1,1,0,0,1,0,0
81700,51,56883,13,2,0,0,0,1,1,0,0
5399,48,30831,12,4,1,1,0,0,1,0,0
0,29,30633,12,2,0,0,0,0,0,0,0
0,45,19848,12,5,1,1,0,0,0,0,0
12500,61,37452,12,3,1,0,0,0,1,0,0
43320,53,55266,14,3,1,0,0,1,0,0,0
-7000,30,45150,18,1,0,0,0,1,1,0,0
25347,38,38085,14,4,1,1,0,0,1,0,0
0,32,14664,14,2,0,0,0,0,0,0,0
27000,58,28476,12,1,0,0,0,1,1,0,0
499,29,17280,16,1,0,0,1,0,0,0,0
1399,31,53841,12,2,1,1,1,0,0,0,0
45700,54,49080,10,2,1,0,0,1,1,0,0
-470,31,38151,12,2,0,0,0,0,1,0,0
4999,48,39720,12,4,1,0,0,0,1,0,0
-11600,26,25980,10,5,1,0,0,0,0,0,0
-1370,27,12093,14,1,0,0,0,0,0,0,0
999,31,23265,13,1,0,0,0,0,0,0,0
4999,49,41100,16,1,1,0,0,0,0,0,0
4000,36,29160,12,6,1,0,0,0,1,0,0
2724,51,34302,18,2,0,0,0,1,0,0,0
1450,40,40620,11,4,1,1,0,0,1,0,0
16175,60,14190,12,2,1,0,0,0,1,0,0
10569,64,17604,12,1,0,0,1,1,0,0,0
0,57,13362,6,1,0,0,0,0,1,0,0
7650,37,30996,16,4,1,0,0,0,1,0,0
0,46,3690,6,5,1,0,0,0,1,0,0
-4800,54,12048,14,2,0,0,1,0,1,0,0
-928,36,8316,11,3,0,0,0,0,1,0,0
-1900,29,26784,13,5,1,1,0,0,1,0,0
-300,33,33006,15,3,1,1,1,0,1,0,0
2999,53,52008,12,2,1,1,0,0,1,0,0
-5650,49,16092,11,3,1,0,0,0,1,0,0
-1630,42,44526,18,6,1,1,1,0,1,0,0
62899,60,33885,7,2,1,0,0,1,1,0,0
157350,46,73620,16,3,1,0,0,1,1,0,0
-1450,25,24510,12,4,1,1,0,0,0,0,0
18000,41,44760,18,4,1,1,0,0,1,0,0
-23500,30,30000,18,1,1,0,0,0,0,0,0
250,29,35100,12,1,0,0,0,0,0,0,0
-3969,42,25281,12,5,1,0,0,0,0,0,0
39189,38,45336,17,1,0,0,0,1,0,0,0
0,40,25536,12,3,0,0,0,0,0,0,0
-17039,39,41298,13,4,1,0,0,0,1,0,0
-376,38,13080,15,1,0,0,0,0,0,0,0
-20,30,10272,12,1,0,0,0,0,0,0,0
-1755,30,21690,12,5,1,1,0,0,1,0,0
-9868,50,30420,16,2,1,0,0,0,0,0,0
1586,37,25134,16,2,1,0,1,0,0,0,0
34149,42,41232,16,4,1,1,0,1,1,0,0
67,44,11262,8,4,1,0,0,0,0,0,0
1000,32,9774,14,1,0,0,0,0,0,0,0
-19733,32,27261,12,8,1,1,0,0,0,0,0
9000,53,19200,15,2,0,0,0,1,0,0,0
-30,48,19176,12,4,1,0,0,0,1,0,0
1300,40,25035,12,5,1,0,0,0,1,0,0
57800,57,30675,18,1,0,0,0,1,0,0,0
-600,40,13290,13,3,0,0,0,0,1,0,0
13569,64,13737,11,1,0,0,0,0,1,0,0
-300,47,26316,12,5,1,0,1,0,1,0,0
-6000,30,60870,12,4,1,1,0,0,1,0,0
-830,37,29445,12,4,1,0,0,0,1,0,0
-4700,33,21972,12,2,0,0,1,0,0,0,0
87897,59,79545,18,2,1,0,0,1,1,0,0
-950,57,3600,9,8,1,0,0,0,0,0,0
-14000,49,89100,18,4,1,1,1,0,1,0,0
-3000,39,1950,14,3,1,1,0,1,0,0,0
1549,54,36996,13,5,1,1,0,0,1,0,0
199,48,20418,8,2,1,1,0,0,0,0,0
0,49,14100,14,2,0,0,0,0,0,0,0
109000,54,58653,15,3,0,0,1,1,1,0,0
899,40,27735,12,4,1,1,0,0,1,0,0
-609,29,27486,10,6,1,0,0,1,0,0,0
-200,27,15000,12,1,0,0,1,0,0,0,0
10747,43,33288,12,2,1,1,0,0,1,0,0
800,52,46800,13,4,1,1,0,0,0,0,0
74800,51,66573,16,4,1,1,0,1,1,0,0
-7970,33,47001,16,2,1,1,1,0,0,0,0
-1829,60,25005,12,3,1,0,0,0,1,0,0
-2430,48,14328,12,3,1,1,0,0,1,0,0
29700,34,22410,17,1,0,0,0,1,0,0,0
-1200,28,17643,12,1,0,0,0,0,0,0,0
0,37,27675,12,1,0,0,0,0,0,0,0
400,48,8916,14,1,0,0,0,0,1,0,0
1414,38,36150,14,5,1,0,0,0,1,0,0
-540,34,25998,14,3,0,0,0,1,1,0,0
-2010,26,27960,12,3,1,1,0,0,1,0,0
-2000,43,19680,12,1,0,0,1,0,1,0,0
-8000,31,11460,12,3,1,0,0,0,1,0,0
1900,30,43293,12,2,1,1,1,0,0,0,0
-1000,33,22161,15,2,0,0,1,0,0,0,0
2000,37,16425,13,1,0,0,0,0,0,0,0
400,28,11481,14,1,0,0,0,0,0,0,0
-465,35,8670,12,3,0,0,0,0,0,0,0
13200,47,57600,8,2,1,0,0,1,1,0,0
1499,49,41658,16,1,0,0,0,0,0,0,0
626,28,38400,12,2,1,1,0,0,1,0,0
17000,39,42009,18,1,0,0,1,1,1,0,0
-8101,36,45030,16,5,1,0,0,0,1,0,0
15434,56,35772,13,2,1,0,0,1,1,0,0
2300,30,27840,16,1,0,0,0,0,1,0,0
53699,55,54963,12,2,1,0,0,0,1,0,0
-600,60,3888,12,2,1,0,0,0,1,0,0
1000,53,7200,12,1,0,0,0,0,0,0,0
15500,54,31008,14,2,1,1,0,1,1,0,0
0,38,31158,12,4,1,1,0,0,1,0,0
-30,42,43350,15,5,1,0,0,0,1,0,0
48599,37,42459,12,5,1,1,0,0,1,0,0
30902,44,46815,17,3,0,0,1,1,1,0,0
-1622,53,8166,8,1,0,0,1,0,1,0,0
-1150,27,8814,12,2,0,0,0,0,0,0,0
52000,53,47520,12,4,1,0,0,1,1,0,0
16350,63,25611,9,2,1,0,0,0,1,0,0
-300,37,13314,12,2,0,0,1,0,0,0,0
0,45,10890,12,2,0,0,1,0,0,0,0
4200,54,37980,6,8,1,1,1,1,1,0,0
-1000,27,32880,12,3,1,1,0,0,0,0,0
-2400,36,30837,12,3,1,1,0,0,0,0,0
2100,32,21306,14,1,0,0,0,0,1,0,0
-600,30,17430,12,1,0,0,0,0,0,0,0
40999,32,68169,18,4,1,1,1,1,1,0,0
1152,61,23562,15,1,0,0,0,0,1,0,0
325,34,33171,12,3,1,0,0,0,0,0,0
0,29,15276,12,1,0,0,0,0,0,0,0
300,62,20151,5,2,1,0,0,0,1,0,0
-611,41,37440,12,3,1,1,0,0,1,0,0
2056,40,32205,15,2,1,1,1,0,1,0,0
39000,45,15936,12,2,0,0,0,1,1,0,0
49,25,11733,12,2,1,0,0,0,0,0,0
0,26,38226,12,6,1,1,0,0,0,0,0
59748,41,15120,12,6,1,0,0,0,1,0,0
-3230,29,39000,16,1,0,0,0,0,0,0,0
-1001,40,10260,16,6,0,0,0,0,1,0,0
150,29,25209,2,5,1,1,0,0,0,0,0
-6235,42,33726,14,3,1,0,1,0,1,0,0
50,28,30363,16,2,1,0,0,0,0,0,0
-2250,27,13482,12,3,1,0,0,0,0,0,0
7529,38,9480,8,1,0,0,0,1,1,0,0
0,40,19650,9,1,0,0,0,0,0,0,0
-2150,48,14025,14,2,0,0,0,0,1,0,0
500,31,15840,13,5,1,0,0,0,0,0,0
3400,41,26148,12,3,0,0,1,1,0,0,0
0,44,79041,16,1,0,0,1,0,0,0,0
104500,42,36489,18,3,1,0,1,0,1,0,0
200,46,7680,6,5,1,1,0,0,0,0,0
0,25,16278,12,3,0,0,0,0,0,0,0
25900,46,35346,18,1,0,0,1,1,1,0,0
90294,54,98907,16,2,1,1,0,1,1,0,0
29200,28,49125,17,3,1,1,0,1,1,0,0
-2600,46,13956,12,3,0,0,0,0,1,0,0
2600,25,4944,18,1,0,0,0,0,0,0,0
-150,36,12636,16,7,1,0,0,0,1,0,0
0,60,12792,9,1,0,0,0,0,1,0,0
4100,40,50634,14,3,1,1,1,1,0,0,0
-21751,28,3765,16,3,0,0,0,0,0,0,0
10,34,27006,12,1,0,0,0,0,0,0,0
-400,36,6411,13,2,0,0,0,0,0,0,0
0,25,8256,9,5,0,0,0,0,0,0,0
500,28,10500,12,1,0,0,0,0,0,0,0
0,31,23223,12,4,1,0,0,0,0,0,0
-3146,38,36654,11,4,1,1,0,0,1,0,0
0,53,8700,12,3,0,0,0,0,1,0,0
7751,63,36633,11,6,1,1,1,1,1,0,0
12800,31,25680,12,3,1,0,0,0,0,0,0
0,28,15708,10,2,1,0,0,0,1,0,0
3870,35,23037,17,1,0,0,0,1,0,0,0
36741,34,56409,14,5,1,0,0,1,1,0,0
13099,64,15696,9,3,1,0,0,0,1,0,0
62399,56,38766,12,2,1,0,0,1,1,0,0
27400,50,60300,12,2,1,1,0,1,1,0,0
80,41,10830,6,5,1,0,0,0,0,0,0
1400,27,32106,13,4,1,1,0,0,0,0,0
-8675,25,28800,16,2,1,1,0,0,0,0,0
0,26,5694,12,4,1,0,0,0,0,0,0
-7495,42,16326,15,4,1,1,1,0,1,0,0
1681,29,22464,16,2,0,0,1,1,1,0,0
3000,27,52860,12,1,0,0,0,0,0,0,0
-1031,29,25668,12,3,1,1,0,0,0,0,0
1746,40,46605,12,5,1,0,0,0,1,0,0
178915,36,77316,14,6,1,0,0,0,1,0,0
18300,62,29700,12,2,1,0,0,0,1,0,0
0,25,15810,12,1,0,0,0,0,0,0,0
2999,39,28740,14,2,0,0,1,0,1,0,0
-43434,60,40917,13,3,1,0,0,0,0,0,0
-2975,31,5250,8,4,1,0,0,0,1,0,0
-1240,36,7197,12,4,0,0,0,0,0,0,0
-40,35,15690,12,3,0,0,0,0,1,0,0
4701,52,20700,12,1,0,0,0,0,1,0,0
7000,26,21975,16,2,1,0,0,0,0,0,0
-3200,38,32805,12,4,1,1,0,0,0,0,0
78300,32,83652,12,4,1,1,0,1,1,0,0
-2500,56,40710,12,1,0,0,0,1,1,0,0
-10900,38,54765,14,4,1,0,0,0,1,0,0
-2482,33,36051,15,5,1,0,0,0,0,0,0
-2400,38,22776,12,4,1,0,0,0,1,0,0
300,44,6792,1,3,1,0,0,0,0,0,0
-20509,39,30021,11,4,1,0,0,0,1,0,0
-2900,49,29814,14,1,0,0,0,0,0,0,0
-12007,27,23850,14,3,1,1,0,0,0,0,0
6000,60,35277,12,3,1,1,0,0,0,0,0
-1000,40,21630,12,1,0,0,0,0,1,0,0
-2200,35,25215,12,2,1,1,0,0,1,0,0
0,47,28200,12,4,1,0,0,0,1,0,0
0,42,19101,9,5,1,1,0,0,0,0,0
2000,45,17829,12,2,1,1,0,0,1,0,0
5700,59,13974,7,3,0,0,0,1,1,0,0
57,33,19767,13,3,1,1,0,0,0,0,0
15630,58,49170,14,2,1,0,0,1,1,0,0
-1400,31,44598,12,3,1,1,0,0,1,0,0
-355,41,70671,14,4,1,1,1,0,1,0,0
63400,53,32856,17,1,0,0,0,1,1,0,0
-310,39,16140,12,5,1,0,0,0,0,0,0
3500,42,41316,14,4,1,1,1,0,1,0,0
-4331,38,24849,14,7,1,0,0,0,1,0,0
-2500,28,24600,12,3,0,0,1,0,1,0,0
-9456,41,24012,15,3,0,0,0,0,1,0,0
4,32,4668,12,5,1,0,0,0,0,0,0
93300,45,105300,14,2,1,1,0,1,1,0,0
1100,41,18090,14,2,1,0,0,0,0,0,0
8000,57,12555,12,1,0,0,0,0,0,0,0
-16586,52,7440,18,1,0,0,0,0,0,0,0
